viewing_id,user_id,episode_id,watch_date,watch_start_time,watch_duration_minutes,device,completion_percentage
74,26,71,2025-01-30,21:30:00,55,LAPTOP,50
75,12,46,2025-04-08,14:30:00,33,LAPTOP,86
76,11,72,2025-03-07,08:45:00,60,MOBILE,68
77,18,49,2025-02-25,13:30:00,29,MOBILE,95
78,5,49,2025-05-21,12:00:00,41,LAPTOP,48
79,27,59,2025-04-19,19:45:00,55,TABLET,65
80,2,11,2025-03-02,12:00:00,58,TABLET,56
81,22,46,2025-04-30,10:45:00,25,LAPTOP,98
82,22,36,2025-02-18,16:45:00,37,LAPTOP,41
83,3,28,2025-06-25,17:30:00,55,LAPTOP,66
84,9,35,2025-01-16,16:30:00,58,TABLET,90
85,27,5,2025-03-16,15:45:00,42,MOBILE,45
86,18,79,2025-02-13,17:15:00,58,TELEVISION,46
87,12,73,2025-01-13,14:15:00,51,LAPTOP,42
88,5,47,2025-02-21,14:00:00,43,LAPTOP,99
89,14,21,2025-05-16,18:15:00,57,MOBILE,68
90,9,38,2025-04-26,09:00:00,20,TABLET,81
91,13,2,2025-04-11,12:30:00,38,TELEVISION,46
92,22,41,2025-02-15,18:15:00,60,TELEVISION,85
93,28,52,2025-03-27,13:30:00,60,MOBILE,61
94,7,2,2025-01-07,08:00:00,48,TABLET,78
95,24,53,2025-02-01,10:00:00,26,LAPTOP,88
96,3,16,2025-01-05,08:00:00,21,MOBILE,76
97,5,59,2025-06-29,21:45:00,60,TABLET,97
98,8,29,2025-04-30,22:00:00,25,TABLET,96
99,5,62,2025-06-21,12:00:00,45,TABLET,53
100,5,28,2025-06-12,22:45:00,37,LAPTOP,65
101,8,11,2025-06-22,19:15:00,55,TELEVISION,48
102,28,19,2025-02-19,12:30:00,28,MOBILE,88
103,13,33,2025-05-16,18:45:00,29,TELEVISION,57
104,2,31,2025-01-28,12:30:00,57,TELEVISION,61
105,18,39,2025-02-14,18:45:00,55,MOBILE,44
106,27,66,2025-04-14,21:45:00,44,MOBILE,62
107,11,17,2025-05-11,20:00:00,35,TABLET,41
108,9,61,2025-05-15,08:00:00,36,MOBILE,95
109,26,55,2025-05-21,09:15:00,27,MOBILE,43
110,15,63,2025-04-29,14:15:00,46,LAPTOP,78
111,14,20,2025-02-11,17:00:00,46,LAPTOP,77
112,20,3,2025-03-03,08:15:00,24,TELEVISION,56
113,28,45,2025-05-15,16:15:00,31,MOBILE,54
114,5,53,2025-03-19,12:15:00,23,TELEVISION,98
115,11,22,2025-02-23,21:00:00,26,TABLET,83
116,8,52,2025-05-13,13:45:00,44,MOBILE,48
117,2,10,2025-04-02,13:00:00,40,MOBILE,72
118,7,13,2025-05-11,12:45:00,42,TELEVISION,84
119,6,64,2025-05-14,13:30:00,38,MOBILE,70
120,7,63,2025-02-27,17:30:00,22,MOBILE,60
121,25,12,2025-02-22,10:30:00,59,TELEVISION,79
122,9,5,2025-04-06,18:00:00,50,TABLET,76
123,21,48,2025-06-07,23:00:00,46,MOBILE,41
124,22,15,2025-03-23,23:30:00,34,TABLET,70
125,4,6,2025-02-20,21:45:00,60,LAPTOP,80
126,23,23,2025-02-03,22:00:00,42,MOBILE,81
127,13,4,2025-04-13,19:00:00,38,LAPTOP,54
128,11,67,2025-02-09,21:45:00,45,TABLET,84
129,12,15,2025-06-08,23:30:00,58,LAPTOP,81
130,30,8,2025-03-11,08:00:00,28,LAPTOP,78
131,9,34,2025-06-06,08:00:00,47,LAPTOP,47
132,29,53,2025-02-24,15:30:00,34,MOBILE,45
133,3,19,2025-04-25,22:15:00,42,LAPTOP,57
134,25,17,2025-02-12,14:45:00,43,MOBILE,58
135,23,46,2025-05-19,19:15:00,35,MOBILE,50
136,8,10,2025-02-28,15:15:00,27,MOBILE,82
137,15,69,2025-04-20,08:30:00,57,TELEVISION,72
138,9,68,2025-04-25,23:00:00,41,TELEVISION,61
139,9,17,2025-02-19,22:15:00,38,TELEVISION,85
140,14,22,2025-02-13,14:15:00,20,TELEVISION,75
141,4,50,2025-03-08,21:30:00,42,TELEVISION,78
142,27,68,2025-04-10,19:45:00,36,TABLET,89
143,21,48,2025-04-30,14:00:00,52,MOBILE,44
144,14,46,2025-05-03,21:15:00,51,TELEVISION,68
145,12,40,2025-04-05,17:00:00,37,TABLET,60
146,17,19,2025-04-04,18:00:00,33,TELEVISION,90
147,30,48,2025-01-14,11:00:00,38,TABLET,72
148,22,72,2025-06-01,21:00:00,40,TABLET,82
149,8,2,2025-05-03,15:45:00,34,LAPTOP,72
150,23,37,2025-01-02,12:30:00,46,TABLET,55
151,17,70,2025-05-02,14:30:00,21,TELEVISION,81
152,4,27,2025-06-19,09:30:00,54,TELEVISION,47
153,12,28,2025-01-02,23:15:00,24,LAPTOP,49
154,27,10,2025-03-21,19:00:00,48,TABLET,63
155,1,8,2025-01-01,09:30:00,21,TELEVISION,80
156,2,31,2025-05-20,08:45:00,52,LAPTOP,71
157,1,67,2025-03-07,20:15:00,21,LAPTOP,74
158,13,16,2025-05-17,21:45:00,59,LAPTOP,69
159,18,45,2025-03-02,18:45:00,27,MOBILE,54
160,11,34,2025-03-11,16:30:00,25,LAPTOP,89
161,29,68,2025-04-11,23:15:00,46,LAPTOP,47
162,30,68,2025-05-02,14:15:00,33,TELEVISION,82
163,9,17,2025-03-25,21:30:00,37,TABLET,53
164,22,65,2025-02-14,08:30:00,48,TELEVISION,96
165,1,60,2025-03-02,18:15:00,31,TELEVISION,89
166,14,43,2025-02-01,09:30:00,33,TELEVISION,49
167,22,24,2025-01-05,14:45:00,54,MOBILE,96
168,7,8,2025-02-02,23:45:00,55,MOBILE,91
169,28,42,2025-02-15,15:15:00,49,TABLET,75
170,5,11,2025-05-26,12:15:00,55,LAPTOP,73
171,26,32,2025-04-04,12:30:00,37,LAPTOP,60
172,29,58,2025-05-21,18:30:00,30,TABLET,79
173,26,71,2025-01-09,21:00:00,47,TELEVISION,65
174,4,40,2025-06-24,22:45:00,54,TELEVISION,75
175,14,23,2025-06-09,16:30:00,59,LAPTOP,88
176,28,19,2025-04-18,12:30:00,49,TABLET,78
177,12,18,2025-03-10,09:30:00,37,TABLET,70
178,3,31,2025-03-01,23:00:00,23,LAPTOP,79
179,9,27,2025-02-08,09:15:00,49,TELEVISION,100
180,6,21,2025-02-02,14:45:00,30,TELEVISION,94
181,2,25,2025-01-15,12:30:00,35,TABLET,88
182,13,4,2025-06-16,15:00:00,51,MOBILE,91
183,26,36,2025-06-24,23:45:00,55,MOBILE,92
184,27,35,2025-04-22,13:30:00,23,LAPTOP,62
185,21,20,2025-01-16,12:00:00,34,LAPTOP,81
186,16,42,2025-02-25,13:45:00,32,LAPTOP,92
187,9,76,2025-06-23,15:15:00,20,LAPTOP,47
188,12,26,2025-04-19,22:00:00,25,MOBILE,76
189,25,53,2025-01-24,09:15:00,22,LAPTOP,73
190,1,77,2025-06-20,19:30:00,52,LAPTOP,97
191,3,50,2025-05-26,10:30:00,20,TELEVISION,85
192,11,20,2025-03-28,16:45:00,56,TABLET,62
193,1,68,2025-03-25,13:45:00,43,TELEVISION,41
194,24,18,2025-03-08,19:45:00,39,TELEVISION,79
195,27,17,2025-02-07,16:00:00,49,TABLET,57
196,26,66,2025-05-03,22:00:00,28,TABLET,69
197,14,33,2025-06-19,18:30:00,60,TABLET,86
198,24,10,2025-06-24,22:45:00,32,TABLET,90
199,18,28,2025-02-20,16:30:00,36,LAPTOP,59
200,13,55,2025-05-11,13:00:00,37,TABLET,58
